
Epoch [15/150], Step [4/4],                     Training Loss: 0.5235, Validation Loss: 0.5209,                     Val. error (in %) = 95.88%
Epoch [30/150], Step [4/4],                     Training Loss: 0.3853, Validation Loss: 0.3797,                     Val. error (in %) = 81.94%
Epoch [45/150], Step [4/4],                     Training Loss: 0.1264, Validation Loss: 0.1191,                     Val. error (in %) = 45.26%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0209, Validation Loss: 0.0171,                     Val. error (in %) = 17.19%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0066, Validation Loss: 0.0074,                     Val. error (in %) = 11.41%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0051, Validation Loss: 0.0050,                     Val. error (in %) = 9.34%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0042, Validation Loss: 0.0040,                     Val. error (in %) = 8.37%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0035, Validation Loss: 0.0046,                     Val. error (in %) = 8.85%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0031, Validation Loss: 0.0036,                     Val. error (in %) = 7.82%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0026, Validation Loss: 0.0030,                     Val. error (in %) = 7.17%
