
Epoch [15/150], Step [4/4],                     Training Loss: 0.2425, Validation Loss: 0.2394,                     Val. error (in %) = 64.98%
Epoch [30/150], Step [4/4],                     Training Loss: 0.0254, Validation Loss: 0.0172,                     Val. error (in %) = 17.38%
Epoch [45/150], Step [4/4],                     Training Loss: 0.0068, Validation Loss: 0.0069,                     Val. error (in %) = 10.88%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0040, Validation Loss: 0.0048,                     Val. error (in %) = 9.04%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0036, Validation Loss: 0.0037,                     Val. error (in %) = 7.95%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0032, Validation Loss: 0.0038,                     Val. error (in %) = 8.10%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0027, Validation Loss: 0.0031,                     Val. error (in %) = 7.29%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0020, Validation Loss: 0.0025,                     Val. error (in %) = 6.49%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0022, Validation Loss: 0.0022,                     Val. error (in %) = 6.11%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0017, Validation Loss: 0.0021,                     Val. error (in %) = 5.84%
