
Epoch [15/150], Step [4/4],                     Training Loss: 0.3654, Validation Loss: 0.3616,                     Val. error (in %) = 79.61%
Epoch [30/150], Step [4/4],                     Training Loss: 0.0962, Validation Loss: 0.0854,                     Val. error (in %) = 38.66%
Epoch [45/150], Step [4/4],                     Training Loss: 0.0105, Validation Loss: 0.0092,                     Val. error (in %) = 12.59%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0045, Validation Loss: 0.0052,                     Val. error (in %) = 9.44%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0035, Validation Loss: 0.0037,                     Val. error (in %) = 7.96%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0024, Validation Loss: 0.0028,                     Val. error (in %) = 6.90%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0023, Validation Loss: 0.0028,                     Val. error (in %) = 6.97%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0020, Validation Loss: 0.0025,                     Val. error (in %) = 6.50%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0021, Validation Loss: 0.0023,                     Val. error (in %) = 6.19%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0015, Validation Loss: 0.0020,                     Val. error (in %) = 5.81%
