
Epoch [15/150], Step [4/4],                     Training Loss: 0.5794, Validation Loss: 0.5739,                     Val. error (in %) = 100.66%
Epoch [30/150], Step [4/4],                     Training Loss: 0.3724, Validation Loss: 0.3528,                     Val. error (in %) = 78.91%
Epoch [45/150], Step [4/4],                     Training Loss: 0.1442, Validation Loss: 0.1550,                     Val. error (in %) = 52.50%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0363, Validation Loss: 0.0380,                     Val. error (in %) = 26.01%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0090, Validation Loss: 0.0088,                     Val. error (in %) = 12.52%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0046, Validation Loss: 0.0075,                     Val. error (in %) = 10.98%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0033, Validation Loss: 0.0033,                     Val. error (in %) = 7.53%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0030, Validation Loss: 0.0029,                     Val. error (in %) = 7.08%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0023, Validation Loss: 0.0035,                     Val. error (in %) = 7.69%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0019, Validation Loss: 0.0025,                     Val. error (in %) = 6.46%
