
Epoch [15/150], Step [4/4],                     Training Loss: 0.5469, Validation Loss: 0.5396,                     Val. error (in %) = 97.54%
Epoch [30/150], Step [4/4],                     Training Loss: 0.4210, Validation Loss: 0.4213,                     Val. error (in %) = 86.04%
Epoch [45/150], Step [4/4],                     Training Loss: 0.1746, Validation Loss: 0.1763,                     Val. error (in %) = 56.10%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0330, Validation Loss: 0.0322,                     Val. error (in %) = 23.98%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0085, Validation Loss: 0.0095,                     Val. error (in %) = 12.73%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0051, Validation Loss: 0.0057,                     Val. error (in %) = 9.95%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0038, Validation Loss: 0.0044,                     Val. error (in %) = 8.75%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0031, Validation Loss: 0.0038,                     Val. error (in %) = 8.08%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0029, Validation Loss: 0.0033,                     Val. error (in %) = 7.54%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0028, Validation Loss: 0.0031,                     Val. error (in %) = 7.25%
