/Users/Thoma/Documents/Github/CME216-Machine-Learning/HW6/utils.py:31: RuntimeWarning:
More than 20 figures have been opened. Figures created through the pyplot interface (`matplotlib.pyplot.figure`) are retained until explicitly closed and may consume too much memory. (To control this warning, see the rcParam `figure.max_open_warning`). Consider using `matplotlib.pyplot.close()`.
Epoch [15/150], Step [4/4],                     Training Loss: 0.4883, Validation Loss: 0.4770,                     Val. error (in %) = 91.72%
Epoch [30/150], Step [4/4],                     Training Loss: 0.3427, Validation Loss: 0.3387,                     Val. error (in %) = 77.42%
Epoch [45/150], Step [4/4],                     Training Loss: 0.1070, Validation Loss: 0.0970,                     Val. error (in %) = 41.62%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0143, Validation Loss: 0.0133,                     Val. error (in %) = 15.41%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0046, Validation Loss: 0.0045,                     Val. error (in %) = 8.86%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0032, Validation Loss: 0.0039,                     Val. error (in %) = 8.18%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0026, Validation Loss: 0.0030,                     Val. error (in %) = 7.16%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0021, Validation Loss: 0.0026,                     Val. error (in %) = 6.69%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0020, Validation Loss: 0.0024,                     Val. error (in %) = 6.42%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0020, Validation Loss: 0.0027,                     Val. error (in %) = 6.74%
