
Epoch [15/150], Step [4/4],                     Training Loss: 0.5365, Validation Loss: 0.5384,                     Val. error (in %) = 97.44%
Epoch [30/150], Step [4/4],                     Training Loss: 0.3262, Validation Loss: 0.3141,                     Val. error (in %) = 74.50%
Epoch [45/150], Step [4/4],                     Training Loss: 0.1272, Validation Loss: 0.1201,                     Val. error (in %) = 46.13%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0294, Validation Loss: 0.0270,                     Val. error (in %) = 21.87%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0075, Validation Loss: 0.0075,                     Val. error (in %) = 11.49%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0055, Validation Loss: 0.0049,                     Val. error (in %) = 9.19%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0044, Validation Loss: 0.0039,                     Val. error (in %) = 8.22%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0030, Validation Loss: 0.0038,                     Val. error (in %) = 8.13%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0026, Validation Loss: 0.0031,                     Val. error (in %) = 7.28%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0023, Validation Loss: 0.0028,                     Val. error (in %) = 6.90%
