
Epoch [15/150], Step [4/4],                     Training Loss: 0.4000, Validation Loss: 0.3990,                     Val. error (in %) = 83.72%
Epoch [30/150], Step [4/4],                     Training Loss: 0.1198, Validation Loss: 0.1087,                     Val. error (in %) = 43.74%
Epoch [45/150], Step [4/4],                     Training Loss: 0.0154, Validation Loss: 0.0137,                     Val. error (in %) = 15.48%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0066, Validation Loss: 0.0070,                     Val. error (in %) = 10.93%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0064, Validation Loss: 0.0048,                     Val. error (in %) = 9.06%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0032, Validation Loss: 0.0039,                     Val. error (in %) = 8.07%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0028, Validation Loss: 0.0037,                     Val. error (in %) = 7.85%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0023, Validation Loss: 0.0035,                     Val. error (in %) = 7.60%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0021, Validation Loss: 0.0028,                     Val. error (in %) = 6.83%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0019, Validation Loss: 0.0027,                     Val. error (in %) = 6.73%
