
Epoch [15/150], Step [4/4],                     Training Loss: 0.4511, Validation Loss: 0.4486,                     Val. error (in %) = 88.83%
Epoch [30/150], Step [4/4],                     Training Loss: 0.1454, Validation Loss: 0.1222,                     Val. error (in %) = 46.32%
Epoch [45/150], Step [4/4],                     Training Loss: 0.0193, Validation Loss: 0.0158,                     Val. error (in %) = 16.57%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0074, Validation Loss: 0.0072,                     Val. error (in %) = 11.15%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0052, Validation Loss: 0.0047,                     Val. error (in %) = 8.94%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0034, Validation Loss: 0.0044,                     Val. error (in %) = 8.63%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0029, Validation Loss: 0.0034,                     Val. error (in %) = 7.51%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0030, Validation Loss: 0.0030,                     Val. error (in %) = 7.09%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0025, Validation Loss: 0.0028,                     Val. error (in %) = 6.96%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0021, Validation Loss: 0.0025,                     Val. error (in %) = 6.53%
