
Epoch [15/150], Step [4/4],                     Training Loss: 0.3716, Validation Loss: 0.3653,                     Val. error (in %) = 80.20%
Epoch [30/150], Step [4/4],                     Training Loss: 0.0952, Validation Loss: 0.0659,                     Val. error (in %) = 34.14%
Epoch [45/150], Step [4/4],                     Training Loss: 0.0100, Validation Loss: 0.0102,                     Val. error (in %) = 13.37%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0046, Validation Loss: 0.0052,                     Val. error (in %) = 9.35%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0035, Validation Loss: 0.0038,                     Val. error (in %) = 8.09%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0031, Validation Loss: 0.0039,                     Val. error (in %) = 8.10%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0025, Validation Loss: 0.0028,                     Val. error (in %) = 6.78%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0022, Validation Loss: 0.0024,                     Val. error (in %) = 6.43%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0018, Validation Loss: 0.0021,                     Val. error (in %) = 5.87%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0017, Validation Loss: 0.0024,                     Val. error (in %) = 6.33%
