
Epoch [15/150], Step [4/4],                     Training Loss: 0.5297, Validation Loss: 0.5245,                     Val. error (in %) = 96.15%
Epoch [30/150], Step [4/4],                     Training Loss: 0.3814, Validation Loss: 0.3747,                     Val. error (in %) = 81.27%
Epoch [45/150], Step [4/4],                     Training Loss: 0.1342, Validation Loss: 0.1343,                     Val. error (in %) = 48.94%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0184, Validation Loss: 0.0199,                     Val. error (in %) = 18.84%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0061, Validation Loss: 0.0062,                     Val. error (in %) = 10.43%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0049, Validation Loss: 0.0052,                     Val. error (in %) = 9.46%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0035, Validation Loss: 0.0043,                     Val. error (in %) = 8.61%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0032, Validation Loss: 0.0035,                     Val. error (in %) = 7.83%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0031, Validation Loss: 0.0036,                     Val. error (in %) = 7.81%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0026, Validation Loss: 0.0036,                     Val. error (in %) = 7.78%
